<<<<<<< HEAD
SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,REDE,VL_APROVACAO_2017_SI_4,VL_APROVACAO_2019_SI_4,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2017,VL_INDICADOR_REND_2019,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2017,VL_NOTA_MATEMATICA_2019,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2017,VL_NOTA_PORTUGUES_2019,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2017,VL_NOTA_MEDIA_2019,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2017,VL_OBSERVADO_2019,VL_OBSERVADO_2021,VL_PROJECAO_2017,VL_PROJECAO_2019,VL_PROJECAO_2021,RESULTADO_2017,RESULTADO_2019,RESULTADO_2021
PB,2500106.0,Água Branca,25033204.0,ECI EEM JOSE NOMINANDO,Estadual,80.9,79.1,100,0.79805,0.778935,1,249.23,245.26,222.28,249.06,248.49,217.23,4.9715,4.895833,3.991833,4.0,3.8,4.0,4.1,4.4,4.7,-0.09999999999999964,-0.6000000000000005,-0.7000000000000002
PB,2500106.0,Água Branca,25033212.0,EEEF JOAO PEREIRA DOS SANTOS,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,3.3,3.5,3.8,,,
PB,2500106.0,Água Branca,25033263.0,EEEF PEDRO HERCULANO DA SILVA,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,4.0,4.3,4.6,,,
PB,2500106.0,Água Branca,25033557.0,EMEIF DELFINO JOSE DOS SANTOS,Municipal,96.6,96.3,100,0.964444,0.961345,1,273.9,299.22,278.69,269.86,268.32,256.44,5.729333,6.125667,5.5855,5.5,5.9,5.6,3.3,3.5,3.8,2.2,2.4000000000000004,1.7999999999999998
PB,2500106.0,Água Branca,25033670.0,EMEF ANTONIO VIRGOLINO BATISTA,Municipal,89,96.4,99.3,0.893085,0.96467,0.992475,278.68,289.18,292.06,260.12,271.76,269.85,5.646667,6.015667,6.031833,5.0,5.8,6.0,4.2,4.4,4.7,0.7999999999999998,1.3999999999999995,1.2999999999999998
PB,2500205.0,Aguiar,25023446.0,EEEFM BERNARDINO BENTO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,4.6,4.9,5.1,,,
PB,2500205.0,Aguiar,25023489.0,ECI EEM AGENOR MENDES PEDROSA,Estadual,75.7,79.5,97.1,0.746831,0.751016,0.962785,251.05,241.31,231.98,233.57,231.7,247.49,4.743667,4.550167,4.657833,3.5,3.4,4.5,,3.8,4.0,,-0.3999999999999999,0.5
PB,2500205.0,Aguiar,25023535.0,EMEIEFCNNM LIDIA CABRAL DE SOUSA,Municipal,82.1,79.4,92.1,0.828747,0.796922,0.91876,246.29,242.92,239.25,245.96,243.38,230.44,4.870833,4.771667,4.494833,4.0,3.8,4.1,4.5,4.7,5.0,-0.5,-0.9000000000000004,-0.9000000000000004
PB,2500304.0,Alagoa Grande,25062638.0,EEEFM PADRE HILDON BANDEIRA,Estadual,74.5,59.1,99.8,0.747541,0.582337,0.997735,ND,218.22,ND,ND,215.7,ND,-,3.898667,-,,2.3,,4.0,4.3,4.6,,-2.0,
PB,2500304.0,Alagoa Grande,25062670.0,EEEF DE DEMONSTRACAO ALAGOA GRANDE,Estadual,82.8,72.6,99.7,0.836279,0.718901,0.996973,ND,234,ND,ND,240.11,ND,-,4.5685,-,,3.3,,4.7,5.0,5.2,,-1.7000000000000002,
PB,2500304.0,Alagoa Grande,25062727.0,EMEIF NOSSA SENHORA DE FATIMA,Municipal,-,55.1,-,-,0.483635,-,-,236.49,-,-,241.76,-,-,4.6375,-,,2.2,,,,3.3,,,
PB,2500304.0,Alagoa Grande,25063065.0,EMEIF SEVERINO RAMALHO,Municipal,-,-,83.6,-,-,0.833811,-,-,243.03,-,-,243.43,-,-,4.774333,,,4.0,,,,,,
