<<<<<<< HEAD
SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,REDE,VL_APROVACAO_2017_SI_4,VL_APROVACAO_2019_SI_4,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2017,VL_INDICADOR_REND_2019,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2017,VL_NOTA_MATEMATICA_2019,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2017,VL_NOTA_PORTUGUES_2019,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2017,VL_NOTA_MEDIA_2019,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2017,VL_OBSERVADO_2019,VL_OBSERVADO_2021,VL_PROJECAO_2017,VL_PROJECAO_2019,VL_PROJECAO_2021,RESULTADO_2017,RESULTADO_2019,RESULTADO_2021
PB,2500106,Água Branca,25033158,EMEIF MAE IAIA,Municipal,95.2,98.3,99.8,0.955293,0.982041,0.99778,236.57,227.71,234.67,214.85,215.59,214.8,6.385111,6.229482,6.347942,6.1,6.1,6.3,5.5,5.8,6.1,0.5999999999999996,0.2999999999999998,0.20000000000000018
PB,2500106,Água Branca,25033557,EMEIF DELFINO JOSE DOS SANTOS,Municipal,95.7,97.2,100,0.958124,0.975639,1,248.34,210.63,232.33,226.25,190.57,207.66,6.817002,5.448618,6.173468,6.5,5.3,6.2,4.6,4.9,5.2,1.9000000000000004,0.39999999999999947,1.0
PB,2500106,Água Branca,25033670,EMEF ANTONIO VIRGOLINO BATISTA,Municipal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,5.5,5.7,6.0,,,
PB,2500205,Aguiar,25023489,ECI EEM AGENOR MENDES PEDROSA,Estadual,100,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,,,4.0,4.3,4.6,,,
PB,2500205,Aguiar,25023535,EMEIEFCNNM LIDIA CABRAL DE SOUSA,Municipal,73.1,-,-,0.693158,-,-,215.28,-,-,202.2,-,-,5.748813,-,-,4.0,,,4.2,4.6,4.9,-0.20000000000000018,,
PB,2500205,Aguiar,25023578,EMEF JOANA LACERDA LEITE,Municipal,91.8,-,-,0.919103,-,-,195.26,-,-,191.24,-,-,5.16748,-,-,4.7,,,5.4,5.7,5.9,-0.7000000000000002,,
PB,2500205,Aguiar,25023705,EMEF AMELIA ARANTES LEITE,Municipal,95.9,95.8,100,0.964707,0.954443,1,198.62,197.09,208.22,171.98,192.72,185.49,4.88142,5.229312,5.310262,4.7,5.0,5.3,,5.0,5.3,,0.0,0.0
PB,2500205,Aguiar,25023772,EMEF DOZINHA BENTO,Municipal,-,81.7,100,-,0.816448,1,-,197.1,190.85,-,189.78,165.31,-,5.176049,4.611865,,4.2,4.6,5.3,5.5,5.8,,-1.2999999999999998,-1.2000000000000002
PB,2500205,Aguiar,25128930,EMEIEF ADVOGADO HORACIO RAMALHO,Municipal,93.1,94.7,100,0.939968,0.955575,1,207.65,188.71,ND,212.22,185.31,ND,5.785384,4.934661,-,5.4,4.7,,,5.7,5.9,,-1.0,
PB,2500304,Alagoa Grande,25062654,EEEF APOLLONIO ZENAYDE,Estadual,88.2,88.4,-,0.893653,0.862605,-,ND,202.99,-,ND,208.31,-,-,5.625362,-,,4.9,,4.3,4.6,4.9,,0.3000000000000007,
