<<<<<<< HEAD
SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,REDE,VL_APROVACAO_2017_SI_4,VL_APROVACAO_2019_SI_4,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2017,VL_INDICADOR_REND_2019,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2017,VL_NOTA_MATEMATICA_2019,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2017,VL_NOTA_PORTUGUES_2019,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2017,VL_NOTA_MEDIA_2019,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2017,VL_OBSERVADO_2019,VL_OBSERVADO_2021,VL_PROJECAO_2019,VL_PROJECAO_2021,RESULTADO_2019,RESULTADO_2021
PB,2500106.0,Água Branca,25033204.0,ECI EEM JOSE NOMINANDO,Estadual,85.5,78.2,100,0.839911,0.804407,1,273.19,281.98,271.86,265.58,274.68,272,4.502201,4.761884,4.579629,3.8,3.8,4.6,4.0,4.2,-0.20000000000000018,0.39999999999999947
PB,2500205.0,Aguiar,25023489.0,ECI EEM AGENOR MENDES PEDROSA,Estadual,87.2,79.5,98.7,0.874678,0.799401,0.989449,237,271.79,ND,232.74,265.7,ND,3.502298,4.484334,-,3.1,3.6,,3.3,3.5,0.30000000000000027,
PB,2500304.0,Alagoa Grande,25062638.0,EEEFM PADRE HILDON BANDEIRA,Estadual,64.8,55.7,99.1,0.656217,0.538329,0.941691,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2500304.0,Alagoa Grande,25062816.0,ECIT OSWALDO TRIGUEIRO DE ALBUQUERQUE MELO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
PB,2500403.0,Alagoa Nova,25063340.0,ECIT MONSENHOR JOSE BORGES DE CARVALHO,Estadual,69.4,75.9,92.4,0.697527,0.778978,0.92242,253.33,266.13,ND,254.4,269.96,ND,4.055903,4.468612,-,2.8,3.5,,3.0,3.2,0.5,
PB,2500502.0,Alagoinha,25066374.0,ECIT AGENOR CLEMENTE DOS SANTOS,Estadual,75.9,94.3,98.8,0.76864,0.947206,0.984348,257.83,ND,ND,260.19,ND,ND,4.205782,-,-,3.2,,,3.4,3.7,,
PB,2500536.0,Alcantil,25051598.0,ECIT PROFESSORA MARIA CECILIA DE CASTRO,Estadual,77.3,83.7,94.2,0.785208,0.830689,0.949754,261.27,289.04,ND,263.16,286.7,ND,4.298558,5.040981,-,3.4,4.2,,3.6,3.8,0.6000000000000001,
PB,2500577.0,Algodão de Jandaíra,25152823.0,ECI EUCLIDES MOUZINHO SANTOS,Estadual,86.4,90,-,0.847531,0.911377,-,228.17,252.61,-,223.97,258.64,-,3.246993,4.109264,-,2.8,3.7,,3.0,3.2,0.7000000000000002,
PB,2500601.0,Alhandra,25100033.0,ECIT RENATO RIBEIRO COUTINHO,Estadual,73.7,75.4,84,0.748694,0.751483,0.836589,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2500601.0,Alhandra,25100041.0,EEEFM BARAO DO ABIAI,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
PB,2500601.0,Alhandra,25102519.0,EEEFM ANTONIO CAMELO,Estadual,77.1,87.7,100,0.77214,0.878686,1,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2500700.0,São João do Rio do Peixe,25004875.0,ENE MIN JOSE AMERICO DE ALMEIDA,Estadual,-,69.4,98.9,-,0.749193,0.97026,-,263.35,ND,-,253.8,ND,-,4.187651,-,-,3.1,,,3.3,,
PB,2500700.0,São João do Rio do Peixe,25004883.0,ECIT CORONEL JACOB GUILHERME FRANTZ,Estadual,73.9,91.7,99.6,0.739475,0.919173,0.995968,250.55,267.93,ND,247.59,264.54,ND,3.914912,4.412756,-,2.9,4.1,,3.1,3.3,0.9999999999999996,
PB,2500700.0,São João do Rio do Peixe,25004999.0,EEEF DE BANDARRA,Estadual,-,-,100,-,-,1,-,-,ND,-,-,ND,-,-,-,-,,,,,,
PB,2500734.0,Amparo,25049640.0,ESCOLA CIDADA INTEGRAL ESTADUAL DE ENSINO MEDIO DE AMPARO,Estadual,84.7,98.3,98.5,0.847087,0.984536,0.985597,ND,218.54,ND,ND,238.12,ND,-,3.323567,-,-,3.3,,,3.5,,
PB,2500775.0,Aparecida,25018094.0,ECI EEFM DR JOSE GADELHA,Estadual,85.8,92.1,99.1,0.860222,0.930524,0.990622,ND,268.45,ND,ND,265.68,ND,-,4.437125,-,-,4.1,,,4.3,,
PB,2500809.0,Araçagi,25066668.0,EEEFM RODRIGUES DE CARVALHO,Estadual,-,86.9,99.6,-,0.872891,0.959955,-,239.02,ND,-,238.81,ND,-,3.621537,-,-,3.2,,,3.4,,
PB,2500809.0,Araçagi,25066676.0,ECI FRANCISCO PESSOA DE BRITO,Estadual,76.9,90.7,97,0.801435,0.900784,0.970572,235.36,270.09,242,240.66,276.79,243.22,3.597827,4.626476,3.729409,2.9,4.2,3.6,3.1,3.3,1.1,0.30000000000000027
PB,2500908.0,Arara,25054767.0,EEEFM E EJA ANESIO DEODONIO MORENO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
PB,2500908.0,Arara,25054783.0,ECI EEM MONSENHOR JOSE PAULINO,Estadual,57.8,59.7,94.6,0.596158,0.594036,0.939581,264.69,ND,ND,273.46,ND,ND,4.500783,-,-,2.7,,,3.1,3.3,,
PB,2501005.0,Araruna,25058975.0,ECIT BENJAMIN MARANHAO,Estadual,73.1,93,98.3,0.722577,0.945244,0.977352,238.46,279.04,ND,235.97,275.21,ND,3.571157,4.728526,-,2.6,4.5,,2.8,3.0,1.7000000000000002,
PB,2501005.0,Araruna,25059017.0,EEEFM TARGINO PEREIRA,Estadual,-,80.4,100,-,0.831003,1,-,235.75,ND,-,250.15,ND,-,3.74537,-,-,3.1,,,3.3,,
PB,2501104.0,Areia,25064126.0,EEEIEFM CARLOTA BARREIRA,Estadual,84.9,79.1,99.8,0.855559,0.778987,0.997992,ND,265.66,ND,ND,270.82,ND,-,4.474886,-,-,3.5,,,3.7,,
PB,2501104.0,Areia,25064134.0,ECIT MINISTRO JOSE AMERICO DE ALMEIDA,Estadual,77.6,93.9,100,0.780271,0.948057,1,ND,276.93,ND,ND,280.18,ND,-,4.773292,-,-,4.5,,,4.7,,
PB,2501104.0,Areia,25064142.0,EEEF ALVARO MACHADO,Estadual,-,76,-,-,0.766612,-,-,ND,-,-,ND,-,-,-,-,-,,,,,,
PB,2501153.0,Areia de Baraúnas,25020374.0,EEEFM CLOVIS SATIRO,Estadual,96.8,95.7,100,0.966501,0.954545,1,240.83,223.49,ND,226.41,234.99,ND,3.461329,3.346233,-,3.3,3.2,,3.6,3.8,-0.3999999999999999,
PB,2501203.0,Areial,25061402.0,ECI PREFEITO FRANCISCO A SILVA,Estadual,68.3,72.9,95,0.716645,0.736346,0.952792,251.6,294.34,ND,266.5,298.77,ND,4.212743,5.296108,-,3,3.9,,3.2,3.4,0.6999999999999997,
PB,2501302.0,Aroeiras,25083490.0,ECI DEPUTADO CARLOS PESSOA FILHO,Estadual,86.1,90,100,0.862469,0.908027,1,ND,266.88,ND,ND,283.45,ND,-,4.681092,-,-,4.3,,,4.5,,
PB,2501302.0,Aroeiras,25083597.0,EEEFM MAJOR JOSE BARBOSA,Estadual,-,90.6,100,-,0.909671,1,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2501351.0,Assunção,25050427.0,ECI EEM JOAO ROGERIO DIAS TOLEDO,Estadual,88.6,70.3,100,0.887448,0.70064,1,247.56,ND,ND,257.11,ND,ND,4.015433,-,-,3.6,,,3.8,4.0,,
PB,2501401.0,Baía da Traição,25085875.0,EEEFM MATIAS FREIRE,Estadual,92.1,85,100,0.922214,0.848506,1,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2501401.0,Baía da Traição,25101978.0,EEIEFM AKAJUTIBIRO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
PB,2501401.0,Baía da Traição,25120778.0,EEIEFM PEDRO POTI,Estadual,95.3,93.5,98.3,0.952974,0.93503,0.982804,211.73,ND,ND,207.07,ND,ND,2.7631,-,-,2.6,,,2.8,3.0,,
