SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,REDE,ORIGEM,CATEGORY
PB,2500106.0,Água Branca,25033204.0,ECI EEM JOSE NOMINANDO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2500106.0,Água Branca,25033212.0,EEEF JOAO PEREIRA DOS SANTOS,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500106.0,Água Branca,25033263.0,EEEF PEDRO HERCULANO DA SILVA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500106.0,Água Branca,25033557.0,EMEIF DELFINO JOSE DOS SANTOS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500106.0,Água Branca,25033670.0,EMEF ANTONIO VIRGOLINO BATISTA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500205.0,Aguiar,25023446.0,EEEFM BERNARDINO BENTO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500205.0,Aguiar,25023489.0,ECI EEM AGENOR MENDES PEDROSA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2500205.0,Aguiar,25023535.0,EMEIEFCNNM LIDIA CABRAL DE SOUSA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500304.0,Alagoa Grande,25062638.0,EEEFM PADRE HILDON BANDEIRA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2500304.0,Alagoa Grande,25062670.0,EEEF DE DEMONSTRACAO ALAGOA GRANDE,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500304.0,Alagoa Grande,25062727.0,EMEIF NOSSA SENHORA DE FATIMA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500304.0,Alagoa Grande,25063065.0,EMEIF SEVERINO RAMALHO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500304.0,Alagoa Grande,25063111.0,EMEIF CANDIDO REGIS DE BRITO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500304.0,Alagoa Grande,25063235.0,EMEIF INSTITUTO DESEMBARGADOR SEVERINO MONTENEGRO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500304.0,Alagoa Grande,25117130.0,EMEIF FIRMO SANTINO DA SILVA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500304.0,Alagoa Grande,25123319.0,EEEF MANOEL BARBOSA DE LUCENA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500304.0,Alagoa Grande,25153609.0,EMEF ARACY NOBREGA MONTENEGRO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500403.0,Alagoa Nova,25063316.0,EMEIEF MANOEL MARTINS DE OLIVEIRA FILHO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500403.0,Alagoa Nova,25063340.0,ECIT MONSENHOR JOSE BORGES DE CARVALHO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2500403.0,Alagoa Nova,25063421.0,EEEF PROF CARDOSO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
