SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,REDE,IDEB_SCORE,ORIGEM,CATEGORY
PB,2500106.0,Água Branca,25033204.0,ECI EEM JOSE NOMINANDO,Estadual,3.991833,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500106.0,Água Branca,25033212.0,EEEF JOAO PEREIRA DOS SANTOS,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500106.0,Água Branca,25033263.0,EEEF PEDRO HERCULANO DA SILVA,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500106.0,Água Branca,25033557.0,EMEIF DELFINO JOSE DOS SANTOS,Municipal,5.5855,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500106.0,Água Branca,25033670.0,EMEF ANTONIO VIRGOLINO BATISTA,Municipal,6.031833,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500205.0,Aguiar,25023446.0,EEEFM BERNARDINO BENTO,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500205.0,Aguiar,25023489.0,ECI EEM AGENOR MENDES PEDROSA,Estadual,4.657833,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500205.0,Aguiar,25023535.0,EMEIEFCNNM LIDIA CABRAL DE SOUSA,Municipal,4.494833,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500304.0,Alagoa Grande,25062638.0,EEEFM PADRE HILDON BANDEIRA,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500304.0,Alagoa Grande,25062670.0,EEEF DE DEMONSTRACAO ALAGOA GRANDE,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500304.0,Alagoa Grande,25062727.0,EMEIF NOSSA SENHORA DE FATIMA,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500304.0,Alagoa Grande,25063065.0,EMEIF SEVERINO RAMALHO,Municipal,4.774333,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500304.0,Alagoa Grande,25063111.0,EMEIF CANDIDO REGIS DE BRITO,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500304.0,Alagoa Grande,25063235.0,EMEIF INSTITUTO DESEMBARGADOR SEVERINO MONTENEGRO,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500304.0,Alagoa Grande,25117130.0,EMEIF FIRMO SANTINO DA SILVA,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500304.0,Alagoa Grande,25123319.0,EEEF MANOEL BARBOSA DE LUCENA,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500304.0,Alagoa Grande,25153609.0,EMEF ARACY NOBREGA MONTENEGRO,Municipal,4.457,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500403.0,Alagoa Nova,25063316.0,EMEIEF MANOEL MARTINS DE OLIVEIRA FILHO,Municipal,4.451,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500403.0,Alagoa Nova,25063340.0,ECIT MONSENHOR JOSE BORGES DE CARVALHO,Estadual,4.610167,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500403.0,Alagoa Nova,25063421.0,EEEF PROF CARDOSO,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500403.0,Alagoa Nova,25122150.0,COLEGIO MUNICIPAL PROFESSORA VIOLETA COSTA DE SOUZA,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500502.0,Alagoinha,25066374.0,ECIT AGENOR CLEMENTE DOS SANTOS,Estadual,4.333667,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500502.0,Alagoinha,25066609.0,GR MUL JOSE BARBOSA DE LUCENA,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500502.0,Alagoinha,25253948.0,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFESSORA LIA BELTRAO,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500536.0,Alcantil,25051598.0,ECIT PROFESSORA MARIA CECILIA DE CASTRO,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500536.0,Alcantil,25052292.0,ESCOLA MUN ENS FUND JOSE EUZEBIO DA COSTA,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500536.0,Alcantil,25052365.0,ESCOLA MUN ENS FUND JOSE CLEMENTE,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500577.0,Algodão de Jandaíra,25057898.0,EMEF MANOEL ANTONIO COELHO DE ANDRADE,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500601.0,Alhandra,25100033.0,ECIT RENATO RIBEIRO COUTINHO,Estadual,4.520667,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500601.0,Alhandra,25100041.0,EEEFM BARAO DO ABIAI,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500601.0,Alhandra,25100092.0,EMEIEF ALFREDO JOSE DE CARVALHO,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500601.0,Alhandra,25100122.0,EMEIEF CREUZA RAQUEL PEREIRA GENUARIO NUNES,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500601.0,Alhandra,25100165.0,EMEIEF HERCULANO BANDEIRA LUNDGREN,Municipal,4.425,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500601.0,Alhandra,25100360.0,EMEIEF PROF ZELIA CORREIA DO O,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500601.0,Alhandra,25102519.0,EEEFM ANTONIO CAMELO,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500601.0,Alhandra,25132261.0,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOAO FRANCISCO DE LIMA,Municipal,4.242333,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500700.0,São João do Rio do Peixe,25004875.0,ENE MIN JOSE AMERICO DE ALMEIDA,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500700.0,São João do Rio do Peixe,25004883.0,ECIT CORONEL JACOB GUILHERME FRANTZ,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500700.0,São João do Rio do Peixe,25004999.0,EEEF DE BANDARRA,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500700.0,São João do Rio do Peixe,25005030.0,EMEF DE GRAVATA,Municipal,4.746667,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500700.0,São João do Rio do Peixe,25005502.0,EMEIEF JACOB GUILHERME FRANTZ,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500700.0,São João do Rio do Peixe,25114565.0,EMEIEF MARIA VIEIRA DE SOUSA,Municipal,5.046167,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500700.0,São João do Rio do Peixe,25118447.0,EMEIEF DR JOSE DANTAS PINHEIRO,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500734.0,Amparo,25049852.0,ESCOLA M DE EDUCACAO BASICA ILDEFONSO ANSELMO DA SILVA,Municipal,4.729333,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500775.0,Aparecida,25018094.0,ECI EEFM DR JOSE GADELHA,Estadual,4.427,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500775.0,Aparecida,25019406.0,EMEF JOAQUINA AMELIA DE SA,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500775.0,Aparecida,25019481.0,EMEF ANTONIO MEIRA DE SA,Municipal,4.969667,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500775.0,Aparecida,25241923.0,EMEF SEVERINA FERREIRA DE SOUSA,Municipal,5.0005,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500809.0,Araçagi,25066668.0,EEEFM RODRIGUES DE CARVALHO,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500809.0,Araçagi,25066897.0,EMEF LUIZ BARBOSA,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500809.0,Araçagi,25066900.0,EMEF MARGARIDA PESSOA COUTINHO,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500809.0,Araçagi,25109650.0,EMEF AGRIPINO RIBEIRO FILHO,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500809.0,Araçagi,25113348.0,EMEF OLIVIO MAROJA,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2500908.0,Arara,25054767.0,EEEFM E EJA ANESIO DEODONIO MORENO,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500908.0,Arara,25054783.0,ECI EEM MONSENHOR JOSE PAULINO,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500908.0,Arara,25112945.0,E M E F PROFª LUZIA LAUDELINO DA SILVA MEDEIROS,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501005.0,Araruna,25000012.0,EMEF JOAO ALVES,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501005.0,Araruna,25058975.0,ECIT BENJAMIN MARANHAO,Estadual,4.909833,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2501005.0,Araruna,25059017.0,EEEFM TARGINO PEREIRA,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501005.0,Araruna,25059122.0,EMEF JOANA MARIA DA CONCEICAO,Municipal,5.374,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2501005.0,Araruna,25059289.0,EMEF ANTONIO PINHEIRO DE ASSIS,Municipal,3.367667,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2501005.0,Araruna,25059548.0,EMEF SANTOS DUMONT,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501005.0,Araruna,25125710.0,EMEF MANOEL FRANCISCO MARTINIANO,Municipal,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501104.0,Areia,25064118.0,EMEF VER NELSON CARNEIRO,Municipal,3.903667,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos FINAIS
PB,2501104.0,Areia,25064126.0,EEEIEFM CARLOTA BARREIRA,Estadual,-,IDEB_ANOS_FINAIS_PB,Anos FINAIS
