,IN_INTERNET_ALUNOS,IN_BANDA_LARGA,IN_REFEITORIO,IN_ESPACO_ATIVIDADE,IN_ACESSO_INTERNET_COMPUTADOR,TP_DEPENDENCIA,QT_MAT_FUND,TP_LOCALIZACAO,QT_PROF_PSICOLOGO,QT_PROF_PEDAGOGIA,QT_TRANSP_PUBLICO,QT_DOC_FUND
60497,1.0,1.0,0.0,0.0,0.0,3,675.0,1,0.0,3.0,207.0,42.0
60498,,,,,,3,,1,,,,
60499,1.0,1.0,1.0,1.0,0.0,2,0.0,1,0.0,1.0,20.0,0.0
60500,1.0,1.0,1.0,1.0,1.0,2,93.0,1,0.0,2.0,25.0,11.0
60501,1.0,0.0,0.0,1.0,9.0,3,156.0,1,0.0,11.0,40.0,8.0
60502,1.0,1.0,1.0,0.0,0.0,3,93.0,1,1.0,2.0,15.0,5.0
60503,0.0,1.0,0.0,9.0,0.0,3,87.0,1,1.0,1.0,18.0,5.0
60504,0.0,1.0,0.0,1.0,0.0,3,33.0,2,0.0,2.0,43.0,2.0
60505,0.0,1.0,0.0,1.0,0.0,3,0.0,2,0.0,2.0,0.0,0.0
60506,0.0,,0.0,1.0,0.0,3,27.0,2,0.0,4.0,33.0,2.0
60507,0.0,0.0,1.0,1.0,0.0,3,280.0,1,0.0,2.0,79.0,21.0
60508,1.0,1.0,0.0,1.0,1.0,2,0.0,1,0.0,1.0,69.0,0.0
60509,1.0,1.0,0.0,1.0,1.0,2,15.0,1,0.0,1.0,1.0,7.0
60510,1.0,1.0,0.0,1.0,1.0,3,151.0,2,0.0,1.0,134.0,16.0
60511,0.0,1.0,1.0,0.0,0.0,3,290.0,1,0.0,4.0,133.0,23.0
60512,0.0,0.0,0.0,0.0,0.0,3,0.0,1,0.0,1.0,10.0,0.0
60513,1.0,1.0,0.0,0.0,1.0,2,0.0,1,0.0,1.0,14.0,0.0
60514,1.0,1.0,0.0,0.0,1.0,2,0.0,1,0.0,1.0,42.0,0.0
60515,1.0,1.0,0.0,9.0,9.0,3,448.0,1,0.0,1.0,42.0,25.0
60516,,,,,,3,,2,,,,
60517,,,,,,3,,2,,,,
60518,0.0,1.0,0.0,1.0,0.0,3,0.0,2,0.0,2.0,0.0,0.0
60519,1.0,1.0,0.0,9.0,1.0,3,184.0,1,0.0,1.0,54.0,15.0
60520,1.0,1.0,0.0,1.0,1.0,3,93.0,1,0.0,1.0,15.0,5.0
60521,,,,,,3,,2,,,,
60522,1.0,1.0,1.0,1.0,9.0,3,9.0,2,0.0,0.0,0.0,1.0
60523,1.0,1.0,0.0,1.0,9.0,3,0.0,2,0.0,0.0,0.0,0.0
60524,,,,,,3,,2,,,,
60525,0.0,1.0,0.0,9.0,0.0,3,261.0,1,0.0,1.0,1.0,15.0
60526,1.0,1.0,1.0,0.0,1.0,3,321.0,1,0.0,2.0,72.0,26.0
60527,,,,,,3,,2,,,,
60528,1.0,1.0,1.0,1.0,9.0,3,19.0,2,0.0,1.0,0.0,1.0
60529,,,,,,3,,2,,,,
60530,,,,,,3,,2,,,,
60531,,,,,,3,,2,,,,
60532,,,,,,3,,2,,,,
60533,,,,,,3,,2,,,,
60534,0.0,,0.0,1.0,0.0,3,0.0,2,0.0,0.0,0.0,0.0
60535,,,,,,4,,1,,,,
